"idő","kút","latitude","longitude","Év","Hónap","Cu","Ni","Co","Cr","Cd","Pb","Zn","As","NH4","PO4","NO3","NO2","pH","T","Vez.kép","logcu","logni","logco","logcr","logcd","logpb","logzn","logas","lognh4","logpo4","logno3","logno2","logvezkep","FAC1_1","FAC2_1","FAC3_1","FAC4_1","FAC5_1"
"12.00","11.00","46.25678531","20.19530116","1.0","10.0","25.26","","1.2","0.33","0.15","0.77","415.6","","392.14","925.18","11680.77","1350.12","7.43","14.8","","3.229222116922345","","0.1823215567939546","-1.1086626245216111","-1.8971199848858813","-0.2613647641344075","6.029723259225072","","5.971618918887276","6.829988313175948","9.365699178866818","7.207948756370981","","","","","",""
"13.00","12.00","46.26211163","20.16404530","1.0","10.0","71.61","","0.79","0.06","0.28","","685.1","","583.07","444.57","21805.7","11534.93","7.32","15.6","","4.271234729018849","","-0.23572233352106983","-2.8134107167600364","-1.2729656758128873","","6.529564813008854","","6.368307247753468","6.097107522870197","9.989926682490317","9.353135102102227","","","","","",""
"14.00","13.00","46.26236168","20.15206926","1.0","10.0","27.04","","0.34","0.44","0.48","","277.3","5.77","192.21","1185.06","115.0","29.68","7.59","17.9","","3.2973172511747633","","-1.0788096613719298","-0.8209805520698302","-0.7339691750802004","","5.625099952621732","1.7526720805200082","5.25858852431904","7.077548685198821","4.74493212836325","3.39047341829918","","","","","",""
"15.00","14.00","46.25827456","20.15745932","1.0","10.0","14.25","0.21","0.63","0.42","0.25","1.03","416.7","","347.79","114.09","2446.86","91.95","7.85","17.8","","2.6567569067146595","-1.5606477482646683","-0.4620354595965587","-0.8675005677047231","-1.3862943611198906","0.02955880224154443","6.032366538428407","","5.851598849350419","4.736987610608278","7.8025608488921785","4.52124495105033","","","","","",""
"16.00","15.00","46.25394843","20.13878553","1.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17.00","16.00","46.25061985","20.13224626","1.0","10.0","82.6","","1.12","0.46","0.3","0.01","1324.0","","10.0","38.52","1775.33","123.61","7.56","14.9","","4.414009680526933","","0.11332868530700327","-0.7765287894989963","-1.2039728043259361","-4.605170185988091","7.188412736496954","","2.302585092994046","3.651177586929925","7.48174160012233","4.817131447899731","","","","","",""
"18.00","17.00","46.24668368","20.12573274","1.0","10.0","85.24","","0.52","0.87","0.25","11.01","1329.0","","10.0","507.24","20000.0","336.96","7.89","16.1","","4.445470807230416","","-0.6539264674066639","-0.13926206733350766","-1.3862943611198906","2.3988039507345884","7.192182058713246","","2.302585092994046","6.228984264366699","9.903487552536127","5.819964228945611","","","","","",""
"19.00","18.00","46.23883960","20.11346484","1.0","10.0","47.61","","0.39","0.7","0.22","3.65","308.8","","1033.07","668.01","3542.0","232.28","7.66","17.2","","3.8630428232064276","","-0.941608539858445","-0.35667494393873245","-1.5141277326297755","1.2947271675944","5.732693818150621","","6.940290230618548","6.504303143484476","8.17244681834278","5.447943540503849","","","","","",""
"20.00","19.00","46.23053857","20.10034707","1.0","10.0","0.89","","1.13","0.51","0.17","0.06","14.96","","588.86","33.94","4778.48","939.67","7.23","15.6","","-0.11653381625595151","","0.12221763272424911","-0.6733445532637656","-1.7719568419318752","-2.8134107167600364","2.7053799725463312","","6.378188464396906","3.52459425980608","8.471877783283643","6.84552874979693","","","","","",""
"21.00","20.00","46.24153422","20.13221898","1.0","10.0","27.92","","0.53","0.26","0.34","1.32","737.9","","14.14","30.25","2755.92","107.43","7.61","15.6","","3.329343277894172","","-0.6348782724359695","-1.3470736479666092","-1.0788096613719298","0.27763173659827955","6.603808314064321","","2.6490076604684267","3.4094961844768505","7.921506604136043","4.676839472678451","","","","","",""
"22.00","21.00","46.24300451","20.14320387","1.0","10.0","27.26","","1.09","0.39","0.22","0.6","285.8","","10.0","30.97","21934.52","92.14","7.47","16.5","","3.3054204262683866","","0.08617769624105241","-0.941608539858445","-1.5141277326297755","-0.5108256237659907","5.655292265495767","","2.302585092994046","3.4330189939851112","9.995816930525232","4.523309159507771","","","","","",""
"23.00","22.00","46.24557979","20.15097325","1.0","10.0","914.0","2.41","1.63","0.81","0.71","21.26","6425.0","","970.07","1604.15","143.47","46.34","7.02","18.1","","6.81783057145415","0.8796267475025636","0.4885800148186709","-0.21072103131565253","-0.342490308946776","3.056827372913802","8.76795190976342","","6.877368233842118","7.380349300263568","4.966125954110298","3.8360055190042304","","","","","",""
"24.00","23.00","46.24840638","20.15806068","1.0","10.0","31.17","2.95","0.72","1.19","0.43","1.36","138.3","11.72","10.0","357.09","100.0","47.06","7.16","15.6","","3.4394560937792455","1.0818051703517284","-0.3285040669720361","0.17395330712343798","-0.843970070294529","0.3074846997479607","4.929425238670713","2.4612967841488667","2.302585092994046","5.877987850847898","4.605170185988092","3.8514233832992164","","","","","",""
"25.00","24.00","46.25172895","20.16445487","1.0","10.0","3.81","","0.39","0.69","0.16","","23.62","","324.64","52.77","38468.0","493.44","7.19","16.3","","1.3376291891386096","","-0.941608539858445","-0.37106368139083207","-1.8325814637483102","","3.1620938107692163","","5.7827168760775045","3.9659428474175766","10.557582005832373","6.20140127093491","","","","","",""
"26.00","25.00","46.24005589","20.18297373","1.0","10.0","34.93","","0.62","0.45","0.19","6.64","1841.0","","10.0","44.57","1497.69","168.6","7.43","16.4","","3.5533460588187404","","-0.4780358009429998","-0.7985076962177716","-1.6607312068216509","1.8931119634883424","7.518064181233078","","2.302585092994046","3.7970609869584644","7.311679200071472","5.127529045567755","","","","","",""
"27.00","26.00","46.23663514","20.17605732","1.0","10.0","2.73","","0.2","0.77","0.35","0.96","10.39","8.79","11707.07","63.66","100.0","38.36","6.98","17.2","","1.0043016091968684","","-1.6094379124341003","-0.2613647641344075","-1.0498221244986778","-0.040821994520255166","2.340843805111136","2.1736147116970854","9.367948211790402","4.1535564218539465","4.605170185988092","3.6470152500152375","","","","","",""
"28.00","27.00","46.22037611","20.16340414","1.0","10.0","18.78","","0.42","0.54","0.19","","54.69","","2914.71","1054.84","100.0","19.08","7.7","17.5","","2.932792473780117","","-0.8675005677047231","-0.616186139423817","-1.6607312068216509","","4.001680877358681","","7.97752560841535","6.96114437564104","4.605170185988092","2.9486406660201405","","","","","",""
"29.00","28.00","46.25197526","20.15110145","1.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30.00","1.00","46.26445781","20.07529457","1.0","11.0","26.42","8.36","0.24","2.57","0.27","","348.9","","466.07","140.45","26872.24","461.49","8.13","14.6","","3.2741212990941793","2.1234584270966104","-1.4271163556401458","0.9439058989071284","-1.3093333199837622","","5.8547853481927286","","6.144335837436838","4.944851553550253","10.198849062481779","6.134460385235769","","","","","",""
"31.00","2.00","46.27994942","20.09128970","1.0","11.0","4.13","16.17","0.41","2.38","0.33","","8.8","","401.79","27.42","287.57","90.09","6.96","13.9","","1.4182774069729414","2.783157673589016","-0.8915981192837836","0.8671004876833833","-1.1086626245216111","","2.174751721484161","","5.995929564067141","3.3112726741341683","5.661466308862253","4.500809170663349","","","","","",""
"32.00","3.00","46.27069589","20.11667412","1.0","11.0","4.22","7.12","0.1","0.89","0.28","","6.77","","394.07","272.3","223.42","894.68","7.48","14.1","","1.4398351280479205","1.9629077254238845","-2.3025850929940455","-0.11653381625595151","-1.2729656758128873","","1.9125010869241836","","5.976528558492","5.606904399679714","5.409053408142702","6.7964661124420696","","","","","",""
"33.00","4.00","46.27920246","20.12871370","1.0","11.0","22.08","8.96","0.42","1.94","0.38","","284.5","","432.64","52.94","7990.0","173.94","8.3","15.2","","3.0946722214088944","2.192770226986839","-0.8675005677047231","0.6626879730752367","-0.9675840262617056","","5.6507332535663855","","6.069905973414545","3.9691591967989552","8.98594603876032","5.158710412161619","","","","","",""
"34.00","5.00","46.27494389","20.13112318","1.0","11.0","30.68","7.55","0.35","1.68","0.19","","149.4","","453.86","34.12","27637.23","112.09","8.2","15.2","","3.4236109764990554","2.0215475632609334","-1.0498221244986778","0.5187937934151675","-1.6607312068216509","","5.006627272698717","","6.117788780441477","3.5298837226234783","10.226919055782838","4.719302120033004","","","","","",""
"35.00","6.00","46.26920020","20.15307660","1.0","11.0","6.09","15.34","0.27","1.84","0.45","","20.24","","446.79","1653.36","16058.64","5432.48","7.57","17.5","","1.8066480817218056","2.73046379593911","-1.3093333199837622","0.6097655716208943","-0.7985076962177716","","3.0076608444192647","","6.102088685565886","7.41056485995305","9.684002301474145","8.600151030577559","","","","","",""
"36.00","7.00","46.26934011","20.16596127","1.0","11.0","10.62","10.85","0.15","2.36","0.27","","807.7","","396.64","154.31","17545.38","507.01","7.57","17.3","","2.362739015813793","2.3841650799864684","-1.8971199848858813","0.8586616190375187","-1.3093333199837622","","6.6941907024482505","","5.98302906828688","5.038963566083114","9.772545946374963","6.228530727262548","","","","","",""
"37.00","8.00","46.27819983","20.16376994","1.0","11.0","10.65","15.9","0.07","2.39","0.38","","84.25","","381.21","14.55","44425.2","47.81","7.43","17.3","","2.365559892155434","2.766319109226186","-2.659260036932778","0.8712933659434193","-0.9675840262617056","","4.433788569232471","","5.943350404384552","2.6775909936175015","10.70156215498233","3.867234822638012","","","","","",""
"38.00","9.00","46.28459488","20.18732313","1.0","11.0","4.42","26.98","0.48","2.84","0.36","","23.12","","3924.64","337.64","400.38","1109.4","7.41","13.9","","1.4861396960896067","3.2950958507796098","-0.7339691750802004","1.0438040521731147","-1.0216512475319814","","3.1406980438041767","","8.275029906264773","5.821980239115519","5.992414096143571","7.011574607621134","","","","","",""
"39.00","10.00","46.26497689","20.18209410","1.0","11.0","85.45","13.56","0.88","2.73","0.58","2.46","1048.0","","420.43","35.23","60820.9","115.76","7.73","15.8","","4.4479314095616","2.6071242825122494","-0.12783337150988489","1.0043016091968684","-0.5447271754416722","0.9001613499442714","6.954638864880987","","6.041277997065693","3.561897992353146","11.015688758885764","4.751519082323228","","","","","",""
"40.00","11.00","46.25678531","20.19530116","1.0","11.0","94.43","13.89","0.71","2.66","0.37","0.73","537.3","","373.5","186.68","13758.64","613.38","7.54","14.7","","4.547858819274978","2.6311691567662523","-0.342490308946776","0.9783261227936078","-0.9942522733438669","-0.31471074483970024","6.2865565977347755","","5.922918004572872","5.229395921081615","9.529422269393313","6.418984645996978","","","","","",""
"41.00","12.00","46.26211163","20.16404530","1.0","11.0","1.0","8.74","0.01","1.62","0.57","","54.47","","611.36","0.0","59479.45","1.0","7.17","16.5","","0.0","2.167910189667444","-4.605170185988091","0.4824261492442928","-0.5621189181535413","","3.9976500913955832","","6.41568598369859","","10.993386153725691","0.0","","","","","",""
"42.00","13.00","46.26236168","20.15206926","1.0","11.0","22.54","6.93","0.27","1.57","0.59","","173.8","","336.86","3700.91","2486.37","12160.13","7.25","17.8","","3.11529150861163","1.9358598132018119","-1.3093333199837622","0.45107561936021673","-0.527632742082372","","5.157905212831292","","5.81966741377024","8.216334014338516","7.818579094463472","9.405917846252486","","","","","",""
"43.00","14.00","46.25827456","20.15745932","1.0","11.0","18.34","16.28","0.2","2.48","0.26","","352.9","","365.79","24.44","307.48","80.32","8.33","17.7","","2.9090844668283187","2.7899373605743945","-1.6094379124341003","0.9082585601768908","-1.3470736479666092","","5.8661847306812245","","5.902059398240283","3.1962211343033946","5.728410044480931","4.386018655943419","","","","","",""
"44.00","15.00","46.25394843","20.13878553","1.0","11.0","52.26","16.43","1.07","3.27","0.21","9.12","506.0","","3860.36","149.74","9135.86","492.01","6.99","17.8","","3.9562312600924665","2.799108932049177","0.06765864847381486","1.184789984909162","-1.5606477482646683","2.21046980408624","6.226536669287466","","8.25851572235874","5.0089004568025395","9.119962607785384","6.198499041489006","","","","","",""
"45.00","16.00","46.25061985","20.13224626","1.0","11.0","282.9","12.01","1.46","2.17","0.37","","1931.0","","495.64","76.35","56563.22","250.87","7.56","16.3","","5.645093478307522","2.485739636091892","0.37843643572024505","0.7747271675523681","-0.9942522733438669","","7.565793282428515","","6.2058498567482925","4.335328031664641","10.943114229643033","5.524934876673747","","","","","",""
"46.00","17.00","46.24668368","20.12573274","1.0","11.0","149.5","13.69","0.31","2.58","0.39","7.88","2158.0","","279.0","651.88","24332.79","2141.89","7.8","17.0","","5.0072963928307415","2.6166656393003573","-1.171182981502945","0.9477893989335261","-0.941608539858445","2.064327903869788","7.67693714581808","","5.631211781821365","6.479860495907788","10.099580102446005","7.6694438958141555","","","","","",""
"47.00","18.00","46.23883960","20.11346484","1.0","11.0","26.86","8.54","0.11","2.33","0.23","2.39","465.4","","411.43","188.63","6244.62","619.79","7.86","17.7","","3.2906381910950917","2.1447610078004784","-2.2072749131897207","0.8458682675776092","-1.4696759700589417","0.8712933659434193","6.142897250868192","","6.019638896290872","5.239787424357633","8.739475572029379","6.429380710986639","","","","","",""
"48.00","19.00","46.23053857","20.10034707","1.0","11.0","4.44","9.63","0.17","2.06","0.3","","50.15","","320.79","48.36","11915.16","158.9","7.15","16.3","","1.4906543764441336","2.2648832258100344","-1.7719568419318752","0.7227059828014898","-1.2039728043259361","","3.9150185144079446","","5.770786703436675","3.878673025746592","9.385566817894214","5.0682750735426705","","","","","",""
"49.00","20.00","46.24153422","20.13221898","1.0","11.0","54.23","14.34","0.36","2.56","0.5","0.12","984.1","","359.36","16.54","46601.71","54.35","7.92","16.8","","3.993234260852969","2.663052835171474","-1.0216512475319814","0.9400072584914712","-0.6931471805599453","-2.120263536200091","6.89172751790494","","5.884324671550078","2.805781689595545","10.749392514719451","3.9954446135672184","","","","","",""
"50.00","21.00","46.24300451","20.14320387","1.0","11.0","37.95","7.49","0.15","1.52","0.23","0.59","768.7","","277.07","35.98","15141.63","118.21","7.87","14.4","","3.636269503841639","2.0135687975291283","-1.8971199848858813","0.41871033485818504","-1.4696759700589417","-0.527632742082372","6.644700776355086","","5.624270181843383","3.582963228522387","9.625203183019307","4.772462703762286","","","","","",""
"51.00","22.00","46.24557979","20.15097325","1.0","11.0","820.5","31.85","2.69","4.37","0.91","20.19","9597.0","","1520.36","859.91","484.44","2825.4","6.71","18.1","","6.709913910530146","3.4610373820181723","0.9895411936137477","1.4747630091074988","-0.09431067947124129","3.005187432324746","9.169205828617628","","7.326702427902921","6.756827732608448","6.182993584652849","7.946405226477564","","","","","",""
"52.00","23.00","46.24840638","20.15806068","1.0","11.0","","","","","","","","","10942.07","1928.67","100.0","6337.05","6.9","17.1","","","","","","","","","","9.300370271971248","7.56458592517619","4.605170185988092","8.75416863946124","","","","","",""
"53.00","24.00","46.25172895","20.16445487","1.0","11.0","46.76","15.22","0.78","2.35","0.4","7.23","5028.0","","1044.64","56.72","60370.19","186.36","6.87","16.1","","3.8450281366038674","2.7226103524335397","-0.2484613592984996","0.8544153281560676","-0.916290731874155","1.9782390361706734","8.522777569710138","","6.951427607438323","4.038126882223872","11.008250719044092","5.227680286948596","","","","","",""
"54.00","25.00","46.24005589","20.18297373","1.0","11.0","4.06","9.78","0.31","2.19","0.24","","42.83","","379.29","38.3","16942.26","125.85","7.4","16.0","","1.4011829736136412","2.280339484046726","-1.171182981502945","0.7839015438284094","-1.4271163556401458","","3.7572387916272794","","5.938301083991916","3.6454498961866","9.737566371349953","4.835090721581325","","","","","",""
"55.00","26.00","46.23663514","20.17605732","1.0","11.0","1.27","14.05","0.41","3.41","0.56","","26.35","","11599.07","58.25","13.27","191.4","6.9","16.9","","0.23901690047049992","2.642622395779755","-0.8915981192837836","1.2267122912954254","-0.579818495252942","","3.2714682749873716","","9.358680201466683","4.06474409244581","2.5855058483441162","5.254365479018854","","","","","",""
"56.00","27.00","46.22037611","20.16340414","1.0","11.0","24.83","11.81","0.38","2.48","0.25","","168.4","","2116.93","884.42","1822.75","2905.96","7.31","16.3","","3.2120525995200753","2.468946630209271","-0.9675840262617056","0.9082585601768908","-1.3862943611198906","","5.126342101808226","","7.657722204929232","6.784932062929313","7.50810162868654","7.974519079410581","","","","","",""
"57.00","28.00","46.25197526","20.15110145","1.0","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58.00","1.00","46.26445781","20.07529457","1.0","12.0","38.1","17.94","0.66","4.95","0.34","1.12","159.8","","503.9","108.7","27104.06","27.04","8.42","12.4","","3.6402142821326553","2.88703285663065","-0.4155154439616658","1.599387576580599","-1.0788096613719298","0.11332868530700327","5.073923033332174","","6.222377835686553","4.688591794127164","10.207438811144726","3.2973172511747633","","","","","",""
"59.00","2.00","46.27994942","20.09128970","1.0","12.0","3.01","17.51","1.03","3.87","0.27","","9.48","","414.6","51.63","1057.06","42.08","7.37","11.5","","1.1019400787607843","2.8627721462977607","0.02955880224154443","1.3532545070416904","-1.3093333199837622","","2.2491843162669305","","6.027314200001679","3.9441028988915576","6.9632467486868235","3.7395725684294545","","","","","",""
"60.00","3.00","46.27069589","20.11667412","1.0","12.0","6.94","23.01","0.44","4.7","0.22","","10.9","","273.63","234.58","890.05","13.22","7.85","10.9","","1.937301774518713","3.1359289040472746","-0.8209805520698302","1.547562508716013","-1.5141277326297755","","2.388762789235098","","5.611776828860177","5.457796681093359","6.791277640923442","2.5817308344235403","","","","","",""
"61.00","4.00","46.27920246","20.12871370","1.0","12.0","416.3","21.83","0.79","4.45","0.43","16.96","1214.0","","295.32","121.23","2612.9","14.76","8.31","11.8","","6.03140615420093","3.0832851705618523","-0.23572233352106983","1.4929040961781488","-0.843970070294529","2.830857630363757","7.101675971619444","","5.6880595141909644","4.797689567758492","7.868215994600766","2.6919208191723265","","","","","",""
"62.00","5.00","46.27494389","20.13112318","1.0","12.0","40.12","18.79","0.66","3.75","0.21","1.26","99.44","","212.42","52.04","201611.37","11.01","8.28","12.1","","3.691874963093735","2.933324813425374","-0.4155154439616658","1.3217558399823195","-1.5606477482646683","0.23111172096338664","4.599554447202456","","5.358565446893394","3.9520126536443043","12.21409721239852","2.3988039507345884","","","","","",""
"63.00","6.00","46.26920020","20.15307660","1.0","12.0","9.83","12.35","0.3","2.91","0.24","","9.51","","685.54","106.71","118313.01","35.02","7.9","15.3","","2.285438934159075","2.513656063073986","-1.2039728043259361","1.0681530811834012","-1.4271163556401458","","2.252343876557299","","6.530206848868181","4.6701148746284735","11.681089018560455","3.555919326857706","","","","","",""
"64.00","7.00","46.26934011","20.16596127","1.0","12.0","18.25","12.47","0.28","3.26","0.29","","691.4","","346.81","486.62","135480.47","28.38","7.86","15.8","","2.9041650800285006","2.523325759691945","-1.2729656758128873","1.1817271953786161","-1.2378743560016174","","6.538718527487524","","5.848777079554101","6.187483531025534","11.816582776072428","3.3456846717318967","","","","","",""
"65.00","8.00","46.27819983","20.16376994","1.0","12.0","6.93","13.68","0.4","6.39","0.18","1.04","39.43","","228.65","47.61","370312.62","9.92","7.75","13.4","","1.9358598132018119","2.615934912194404","-0.916290731874155","1.8547342683894434","-1.7147984280919266","0.03922071315328133","3.674526947889536","","5.432192450104064","3.8630428232064276","12.822102846796268","2.2945529212967815","","","","","",""
"66.00","9.00","46.28459488","20.18732313","1.0","12.0","6.96","19.92","0.79","3.94","0.26","1.58","13.53","","2287.29","261.44","7594.15","2111.7","8.04","10.2","","1.9401794743463283","2.991724252156452","-0.23572233352106983","1.3711807233098425","-1.3470736479666092","0.4574248470388755","2.604909442182697","","7.735122989656809","5.566204811671638","8.935133493032804","7.655248589282196","","","","","",""
"67.00","10.00","46.26497689","20.18209410","1.0","12.0","187.3","14.72","0.91","2.92","0.58","7.36","2020.0","","287.29","75.63","38698.9","13.27","7.92","12.9","","5.2327116094500425","2.6892071133007303","-0.09431067947124129","1.0715836162801904","-0.5447271754416722","1.9960599327407849","7.61085279039525","","5.660492158557335","4.325853029867938","10.5635664548413","2.5855058483441162","","","","","",""
"68.00","11.00","46.25678531","20.19530116","1.0","12.0","115.0","23.04","0.35","4.24","0.24","1.6","443.6","","273.26","63.18","214471.42","4.83","7.77","11.6","","4.74493212836325","3.1372318358276905","-1.0498221244986778","1.4445632692438664","-1.4271163556401458","0.47000362924573563","6.094923255476212","","5.610423722910342","4.145987795373939","12.275931768379719","1.5748464676644813","","","","","",""
"69.00","12.00","46.26211163","20.16404530","1.0","12.0","3.34","5.14","0.1","1.05","0.46","1.75","40.12","4.81","420.9","223.1","563335.03","28.97","7.39","14.0","","1.205970806988609","1.6370530794670737","-2.3025850929940455","0.04879016416943205","-0.7765287894989963","0.5596157879354227","3.691874963093735","1.5706970841176697","6.042395275776525","5.407620101438487","13.24162981006093","3.366260811781259","","","","","",""
"70.00","13.00","46.26236168","20.15206926","1.0","12.0","27.01","23.88","0.4","5.08","0.4","6.78","369.4","","265.95","3158.86","661.88","23.14","7.39","14.1","","3.2962071678045244","3.1730412885244013","-0.916290731874155","1.6253112615903906","-0.916290731874155","1.9139771019523042","5.911880067765139","","5.583308321188326","8.057966481997926","6.495084270623644","3.1415627217655304","","","","","",""
"71.00","14.00","46.25827456","20.15745932","1.0","12.0","19.69","18.82","0.27","5.03","0.7","","132.4","4.76","217.13","117.61","3053.13","8.49","8.1","16.6","","2.9801108926510342","2.9349201341572337","-1.3093333199837622","1.6154199841116479","-0.35667494393873245","","4.885827643502908","1.5602476682433286","5.38049625250568","4.7673740658629455","8.023922572896133","2.138889000323256","","","","","",""
"72.00","15.00","46.25394843","20.13878553","1.0","12.0","41.6","16.82","1.04","3.54","0.33","25.38","256.2","","5634.0","535.7","8215.79","137.41","7.29","15.2","","3.728100167267218","2.822568654544802","0.03922071315328133","1.264126727145683","-1.1086626245216111","3.2339614622862416","5.545958389462633","","8.636574948436317","6.283574302886914","9.01381319139858","4.922969157343683","","","","","",""
"73.00","16.00","46.25061985","20.13224626","1.0","12.0","319.9","18.51","1.67","3.77","0.44","4.22","2243.0","0.05","175.09","10.0","545920.44","5.39","7.91","14.8","","5.768008446955473","2.9183111265854063","0.5128236264286637","1.3270750014599193","-0.8209805520698302","1.4398351280479205","7.715569534520208","-2.995732273553991","5.1653001274382255","2.302585092994046","13.21022852982397","1.6845453849209058","","","","","",""
"74.00","17.00","46.24668368","20.12573274","1.0","12.0","114.8","18.01","0.31","4.0","0.3","13.93","1392.0","","372.61","118.86","18638.52","10.85","8.22","14.2","","4.743191483885466","2.8909271591878647","-1.171182981502945","1.3862943611198906","-1.2039728043259361","2.6340447877917144","7.238496840894365","","5.92053229623998","4.777946329938515","9.832985685945673","2.3841650799864684","","","","","",""
"75.00","18.00","46.23883960","20.11346484","1.0","12.0","72.09","7.76","0.14","1.88","0.2","6.25","665.0","","179.97","291.14","42933.42","19.24","7.75","15.6","","4.277915338416487","2.048982334195127","-1.9661128563728327","0.6312717768418578","-1.6094379124341003","1.8325814637483102","6.499787040655854","","5.192790170333112","5.673804251136515","10.667405822615784","2.9569914452375605","","","","","",""
"76.00","19.00","46.23053857","20.10034707","1.0","12.0","8.04","17.63","0.18","4.67","0.37","3.3","29.46","","270.33","116.06","75307.9","18.04","7.55","14.0","","2.0844290831908747","2.869601996409779","-1.7147984280919266","1.541159071680806","-0.9942522733438669","1.1939224684724346","3.3830334110344844","","5.5996434349150555","4.754107298762462","11.229340321963548","2.8925915146344776","","","","","",""
"77.00","20.00","46.24153422","20.13221898","1.0","12.0","108.7","23.55","0.23","4.2","0.58","6.58","2157.0","","303.79","47.22","31368.15","16.0","8.4","14.4","","4.688591794127164","3.159125820462427","-1.4696759700589417","1.4350845252893227","-0.5447271754416722","1.884034745337226","7.676473646389156","","5.716336673227553","3.8548175316573667","10.353548325904116","2.772588722239781","","","","","",""
"78.00","21.00","46.24300451","20.14320387","1.0","12.0","74.51","16.03","0.22","3.75","0.44","0.37","919.9","","191.34","64.44","7348.6","7.03","8.22","14.4","","4.310933344565636","2.7744619666214616","-1.5141277326297755","1.3217558399823195","-0.8209805520698302","-0.9942522733438669","6.824264968483112","","5.254051950250021","4.165734558308774","8.902265097873514","1.9501867058225735","","","","","",""
